region,R_Angstrom,dlnalpha_dR,dlng_dR,dlnDelta_dR,sum_g_Delta,closure
minimum,1.7885339999999998,0.031028456527901836,-0.038382218130907586,0.06941067465883999,0.031028456527932402,-3.056582764671134e-14
minimum,1.7890336666666666,0.031835225197779295,-0.03644837572011719,0.06828360091792729,0.031835225197810096,-3.0801750039444187e-14
minimum,1.7895333333333332,0.0326419938676564,-0.03451453330932766,0.06715652717701508,0.032641993867687416,-3.101685575046531e-14
minimum,1.790033,0.03344876253753386,-0.03258069089853727,0.06602945343610236,0.0334487625375651,-3.123890035539034e-14
minimum,1.7905326666666666,0.03425553120741096,-0.03064684848774772,0.06490237969519017,0.034255531207442444,-3.1481761642027095e-14
minimum,1.7910323333333333,0.03506229987728843,-0.02871300607695733,0.06377530595427747,0.03506229987732014,-3.1710745140856034e-14
minimum,1.791532,0.03586906854716553,-0.026779163666167796,0.06264823221336527,0.03586906854719747,-3.193972863968497e-14
minimum,1.7920316666666667,0.03667583721704299,-0.024845321255377403,0.061521158472452556,0.03667583721707515,-3.2161773244610004e-14
minimum,1.7925313333333333,0.037482605886920095,-0.02291147884458787,0.06039408473154036,0.037482605886952486,-3.239075674343894e-14
minimum,1.793031,0.038289374556797554,-0.020977636433797478,0.05926701099062765,0.03828937455683017,-3.261974024226788e-14
minimum,1.7935306666666666,0.03909614322667466,-0.01904379402300793,0.05813993724971545,0.03909614322670752,-3.2862601528904634e-14
minimum,1.7940303333333332,0.03990291189655176,-0.0171099516122184,0.057012863508803246,0.03990291189658485,-3.3084646133829665e-14
minimum,1.79453,0.04070968056642923,-0.015176109201428006,0.05588578976789055,0.04070968056646254,-3.3313629632658603e-14
minimum,1.7950296666666665,0.041516449236306326,-0.013242266790638474,0.054758716026978335,0.04151644923633986,-3.3535674237583635e-14
minimum,1.7955293333333333,0.04232321790618379,-0.011308424379848081,0.05363164228606564,0.042323217906217556,-3.3764657736412573e-14
minimum,1.7960289999999999,0.043129986576060896,-0.009374581969058549,0.05250456854515344,0.04312998657609489,-3.399364123524151e-14
