R_Angstrom,alpha_perp_au,alpha_parallel_au,alpha_iso_au,g_perp_au,g_parallel_au,g_iso_au,Delta_geom_iso_Eh,E0_Eh,Delta_geom_perp_Eh,Delta_geom_parallel_Eh
1.8981,143.17976269100856,179.8380699035028,155.39919842850665,507.8455290028539,765.183578464265,593.6248788233243,0.1308900654033714,-2086.663850676305,0.14096782831990232,0.11751302234193298
1.9502,144.18326983900442,182.4759716839708,156.94750378732655,512.1963363984391,790.2236446082803,604.8721058017195,0.1297361064280709,-2086.667019178131,0.1407500011156306,0.115458435677678
2.0023,145.06083456606368,186.1756316796143,158.7657669372472,516.4316063563775,824.2808298600298,619.0480141909283,0.1282338068273653,-2086.670689775025,0.14044534918139823,0.11293216154937666
2.1,146.2248540601902,195.35980383819947,162.60317065285997,521.3710806224232,911.1071193474564,651.2830935307676,0.1248329430534944,-2086.6783241745466,0.14023107484751943,0.1072101181571921
2.1978,146.89631926658976,206.55808694098388,166.78357515805445,523.4578133382029,1025.072994799821,690.6628738254088,0.1207416682427723,-2086.68603590437,0.14031342691190374,0.10075286735132512
2.302,147.42605289244332,219.92435084901743,171.59215221130137,524.5938563870743,1165.6196422775793,738.2691183505759,0.1162124677479864,-2086.693495481988,0.1405144676186069,0.09433795677091246
2.3997,148.00064895502544,233.44560367554044,176.48230052853046,526.3843322966676,1315.4052817503562,789.3913154478972,0.1117837864914913,-2086.699419102578,0.14058230828155902,0.08873523883259155
2.4974,148.84694263312457,247.78175882842228,181.82521469822385,529.9709473107943,1479.2892004592677,846.410365026952,0.1074096101673057,-2086.704229231786,0.14042934182374653,0.08375027640014363
2.6016,149.98511490363038,263.6109228780645,187.86038422844172,536.0563911917521,1666.442755773356,912.8518460522868,0.1028975211261616,-2086.708207709248,0.13989676960122222,0.0790939028552856
2.6994,151.42667524830557,278.83711781997687,193.89682277219603,544.2381172959427,1854.2361928283296,980.904142473405,0.0988357650744925,-2086.7109953744603,0.13911803531942216,0.07518921238255444
2.7971,153.15902710237117,293.95797379076305,200.09200933183516,554.5612370665797,2041.9626044883207,1050.3616928738268,0.0952490988053726,-2086.713013748809,0.13809027467599863,0.0719792745333903
2.9013,155.30980945754894,309.61232399009634,206.7439809683981,567.9425577549,2241.7178520462603,1125.86765585202,0.0918154011680622,-2086.714481247986,0.13673020918831555,0.06905693410691256
2.999,157.55927233524537,323.40259925452585,212.84038130833883,582.4066153438865,2417.3556347325543,1194.0562884734425,0.0891249363044884,-2086.715349363021,0.1352656959796149,0.06689181240192359
3.1033,160.22870790758742,336.81422897934164,219.09054826483884,599.4441768654032,2592.4563073875474,1263.7815537061178,0.0866805452343968,-2086.715860659386,0.13364773075739173,0.06496044466005944
3.201,162.69183758607946,347.537228782989,224.30696798504928,616.7523764878358,2726.9230545786163,1320.142602518096,0.084955582660993,-2086.7160481995325,0.13189396894791552,0.06372332878983507
3.2987,165.3017026923306,356.385285442684,228.99623027578173,634.8906899179975,2840.270752289613,1370.0173773752028,0.083574206450765,-2086.71603171386,0.13018123065695053,0.06273790714413281
3.3964,167.9390677919754,363.2314937678731,233.03654311727465,653.6792497920632,2924.2485890878825,1410.535696224003,0.0826056879457614,-2086.715872488821,0.12845678354131418,0.06210680841623839
3.55,172.09885135748152,369.8399068557338,238.0125365235656,683.6393102798495,2999.629217187949,1455.6359459158828,0.0817555162715526,-2086.715446167594,0.1258696280111748,0.06164760376658256
3.7,175.94384710643376,371.4963052598502,241.12799982423925,712.9633840851386,3007.2512222625,1477.7259968109256,0.081587520401149,-2086.7149312567294,0.1233891185956216,0.0617667560511216
3.85,179.63700026749996,369.2384478723751,242.8374828024583,741.5629262994336,2963.466690482439,1482.1975143604352,0.0819180576305453,-2086.714398807611,0.12112053737902537,0.06229839685025526
3.9176,181.34077447168943,367.26392997997607,243.3151596411183,754.050332382707,2927.6164419678694,1478.5723689110946,0.0822804364389379,-2086.7141663337293,0.12024447618680488,0.06272405167480044
3.9676,182.36620588949236,365.2532780683436,243.32856328244276,763.1795932004875,2893.728276415461,1473.362487605479,0.0825759327149364,-2086.7139998380526,0.11947791025485709,0.06311119137294961
4.0176,183.4855517302003,363.1779414092761,243.38301495655887,772.1747371518915,2863.3546858798486,1469.2347200612105,0.0828264577583693,-2086.713838852824,0.11881090050094943,0.06341825956809105
4.0676,184.5708441471237,360.78644403877047,243.30937744433928,780.9635652831241,2827.2396428587176,1463.0555911416552,0.0831511047555204,-2086.7136839515247,0.11816866519260145,0.06380542324207918
4.1176,185.63153509553047,358.2818582180556,243.1816428030389,789.617487628782,2790.649145536704,1456.628040264756,0.0834741732552527,-2086.713535538005,0.11754522791344274,0.06419328255418329
4.3,189.2520892631132,347.8089558939245,242.10437814005027,819.5904296335332,2645.8889624077115,1428.356607224926,0.084749276516605,-2086.713052180565,0.11545528255358854,0.06572629479836989
4.5,192.8053280803649,335.41298842957667,240.3412148634355,849.85898113655,2465.472869981532,1388.396944084877,0.0865534946210392,-2086.7126259945294,0.11343371804020869,0.06802204001378631
